{2.25, 2.07, 2.01, 0.80, 0.29, 1.09, 0.44, 1.16, 0.48, 0.50}, 
{2.13, 2.01, 1.96, 0.73, 0.27, 1.00, 0.39, 1.15, 0.47, 0.48}, 
{1.58, 1.66, 1.63, 0.41, 0.25, 0.66, 0.12, 0.81, 0.33, 0.31}, 
{1.37, 2.08, 2.11, 0.55, 0.39, 0.94, 0.14, 0.87, 0.42, 0.40}, 
{1.69, 1.73, 1.73, 0.46, 0.27, 0.73, 0.15, 0.77, 0.33, 0.31}, 
{1.54, 1.82, 1.83, 0.40, 0.34, 0.74, 0.12, 0.81, 0.34, 0.31}, 
{2.05, 2.14, 2.14, 1.07, 0.11, 1.18, 0.41, 1.09, 0.61, 0.62}, 
{2.00, 2.06, 2.04, 1.10, 0.08, 1.18, 0.42, 1.15, 0.60, 0.61}, 
{2.13, 2.07, 2.05, 0.80, 0.32, 1.12, 0.37, 0.94, 0.50, 0.48}, 
{1.97, 1.89, 1.89, 0.74, 0.31, 1.05, 0.32, 0.89, 0.42, 0.40}, 
{2.00, 1.88, 1.87, 0.80, 0.28, 1.08, 0.36, 0.85, 0.44, 0.42}, 
{2.07, 1.98, 1.96, 0.83, 0.25, 1.07, 0.42, 1.06, 0.42, 0.44}, 
{2.03, 1.91, 1.91, 0.80, 0.25, 1.05, 0.44, 1.07, 0.44, 0.45}, 
{2.02, 1.89, 1.90, 0.75, 0.25, 1.00, 0.41, 1.00, 0.42, 0.42}, 
{2.03, 2.09, 2.11, 0.83, 0.31, 1.14, 0.34, 1.03, 0.46, 0.45}, 
{2.06, 2.00, 2.01, 0.71, 0.33, 1.04, 0.28, 1.01, 0.42, 0.44}, 
{2.08, 2.04, 2.05, 0.89, 0.30, 1.19, 0.35, 1.06, 0.49, 0.49}, 
{1.92, 1.93, 1.93, 0.72, 0.35, 1.07, 0.24, 0.86, 0.46, 0.45}, 
{1.92, 1.98, 1.97, 0.68, 0.38, 1.06, 0.26, 0.86, 0.45, 0.46}, 
{1.95, 2.11, 2.10, 0.66, 0.43, 1.09, 0.23, 0.91, 0.47, 0.46}, 
{2.00, 2.13, 2.13, 0.69, 0.42, 1.12, 0.26, 0.88, 0.45, 0.47}, 
