{1.46, 2.47, 2.47, 0.90, 0.46, 1.36, 0.21, 1.13, 0.59, 0.63}, 
{1.43, 2.35, 2.32, 0.97, 0.40, 1.38, 0.24, 0.87, 0.80, 0.82}, 
{1.08, 1.67, 1.70, 0.90, 0.25, 1.15, 0.37, 0.71, 0.34, 0.35}, 
{1.21, 1.85, 1.87, 1.03, 0.29, 1.33, 0.46, 0.83, 0.42, 0.42}, 
{1.02, 1.74, 1.78, 1.02, 0.28, 1.30, 0.41, 0.78, 0.35, 0.36}, 
{1.31, 2.40, 2.46, 0.81, 0.58, 1.39, 0.24, 0.93, 0.45, 0.46}, 
{1.39, 2.32, 2.36, 1.04, 0.49, 1.52, 0.38, 1.03, 0.77, 0.78}, 
{1.42, 2.34, 2.37, 1.15, 0.42, 1.58, 0.48, 0.98, 0.52, 0.52}, 
{1.41, 2.42, 2.46, 0.83, 0.49, 1.32, 0.26, 0.90, 0.64, 0.64}, 
{1.63, 2.45, 2.49, 0.89, 0.48, 1.37, 0.32, 0.89, 0.68, 0.66}, 
{1.47, 2.15, 2.16, 0.73, 0.43, 1.16, 0.30, 0.89, 0.64, 0.64}, 
{1.66, 2.86, 2.85, 0.93, 0.69, 1.62, 0.29, 1.05, 0.52, 0.50}, 
{1.82, 2.83, 2.80, 0.90, 0.73, 1.63, 0.28, 1.03, 0.47, 0.44}, 
{1.61, 2.97, 2.94, 0.77, 0.72, 1.50, 0.15, 1.05, 0.60, 0.60}, 
{1.95, 2.56, 2.55, 0.74, 0.38, 1.12, 0.16, 1.10, 0.70, 0.73}, 
{2.01, 2.72, 2.68, 1.04, 0.38, 1.41, 0.32, 1.09, 0.63, 0.63}, 
{1.34, 2.14, 2.14, 0.82, 0.42, 1.24, 0.28, 0.87, 0.46, 0.46}, 
{1.31, 2.09, 2.11, 0.75, 0.40, 1.15, 0.29, 0.84, 0.56, 0.56}, 
{1.52, 2.52, 2.50, 0.85, 0.51, 1.36, 0.29, 1.03, 0.66, 0.65}, 
{1.83, 2.13, 2.15, 0.64, 0.32, 0.96, 0.16, 0.98, 0.58, 0.60}, 
{1.62, 2.28, 2.31, 1.00, 0.31, 1.31, 0.38, 0.98, 0.57, 0.58}, 
